Year,Month,Average Rainfall
1989,July,21.89
1989,August,113.7
1989,September,57.68
1989,October,156.27
1989,November,58.38
1989,December,100.18
1990,January,147.68
1990,February,192.61
1990,March,47.69
1990,April,53.76
1990,May,32.6
1990,June,95.94
1990,July,56.83
1990,August,66.47
1990,September,33.31
1990,October,182.76
1990,November,79.23
1990,December,123.29
1991,January,102.11
1991,February,89.86
1991,March,94.59
1991,April,125.43
1991,May,9.16
1991,June,86.84
1991,July,70.13
1991,August,40.92
1991,September,75.51
1991,October,117.14
1991,November,127.24
1991,December,56.27
1992,January,75.61
1992,February,75.57
1992,March,106.66
1992,April,98.81
1992,May,54.69
1992,June,33.08
1992,July,97.61
1992,August,147.52
1992,September,92.31
1992,October,67.03
1992,November,123.68
1992,December,87.94
1993,January,142.36
1993,February,26.91
1993,March,62.11
1993,April,89.53
1993,May,108.88
1993,June,107.06
1993,July,81.93
1993,August,45.34
1993,September,109.21
1993,October,64.79
1993,November,82.1
1993,December,190.38
1994,January,135.57
1994,February,141.26
1994,March,119.57
1994,April,99.28
1994,May,64.84
1994,June,62.42
1994,July,93.22
1994,August,84.32
1994,September,79.62
1994,October,68.04
1994,November,96.51
1994,December,169.5
1995,January,170.73
1995,February,141.36
1995,March,97.43
1995,April,33.98
1995,May,65.58
1995,June,27.16
1995,July,91.61
1995,August,11.39
1995,September,62.83
1995,October,159.2
1995,November,126.43
1995,December,80.23
1996,January,108.79
1996,February,103.76
1996,March,87.42
1996,April,80.6
1996,May,68.91
1996,June,39.81
1996,July,60.89
1996,August,107.75
1996,September,38.07
1996,October,173.18
1996,November,123.99
1996,December,55.59
1997,January,34.21
1997,February,136.76
1997,March,38.56
1997,April,40.98
1997,May,76.04
1997,June,97.61
1997,July,71.11
1997,August,132.3
1997,September,59.89
1997,October,96.12
1997,November,119.6
1997,December,127.57
1998,January,136.1
1998,February,47.41
1998,March,89.84
1998,April,111.09
1998,May,34.16
1998,June,127.85
1998,July,86.31
1998,August,90.59
1998,September,91.29
1998,October,142.71
1998,November,123.84
1998,December,127.56
1999,January,132.38
1999,February,62.46
1999,March,71.1
1999,April,92.08
1999,May,54.86
1999,June,62.61
1999,July,49.5
1999,August,114.11
1999,September,166.2
1999,October,63.61
1999,November,113.07
1999,December,197.16
2000,January,71.79
2000,February,114.21
2000,March,36.43
2000,April,71.96
2000,May,63.7
2000,June,58.18
2000,July,55.24
2000,August,89.87
2000,September,119.31
2000,October,181.2
2000,November,159.32
2000,December,142.01
2001,January,63.44
2001,February,73.02
2001,March,74.52
2001,April,77.5
2001,May,36.7
2001,June,59.95
2001,July,72.46
2001,August,105.97
2001,September,59.59
2001,October,121.88
2001,November,70.0
2001,December,60.34
2002,January,126.4
2002,February,166.77
2002,March,58.34
2002,April,80.63
2002,May,124.69
2002,June,102.19
2002,July,69.66
2002,August,60.8
2002,September,41.04
2002,October,174.38
2002,November,168.14
2002,December,96.13
2003,January,74.31
2003,February,58.41
2003,March,56.1
2003,April,65.88
2003,May,110.07
2003,June,92.65
2003,July,81.84
2003,August,18.37
2003,September,56.79
2003,October,68.61
2003,November,122.83
2003,December,91.04
2004,January,120.79
2004,February,50.63
2004,March,80.89
2004,April,63.24
2004,May,40.37
2004,June,82.36
2004,July,66.56
2004,August,113.18
2004,September,100.95
2004,October,151.81
2004,November,54.6
2004,December,88.96
2005,January,119.02
2005,February,50.27
2005,March,52.12
2005,April,92.25
2005,May,93.77
2005,June,57.79
2005,July,64.27
2005,August,67.08
2005,September,87.09
2005,October,121.19
2005,November,86.08
2005,December,90.88
2006,January,57.15
2006,February,46.96
2006,March,101.78
2006,April,48.58
2006,May,125.3
2006,June,29.92
2006,July,47.18
2006,August,57.11
2006,September,142.85
2006,October,123.71
2006,November,134.68
2006,December,164.85
2007,January,108.54
