"Statistic Label","Month","Domestic or Import Source","UNIT","VALUE"
"Intake of Cows Milk by Milk Processors and Co-Ops","1980 August","Domestic","Million Litres","516.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1980 September","Domestic","Million Litres","402.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1980 October","Domestic","Million Litres","261.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1980 November","Domestic","Million Litres","114"
"Intake of Cows Milk by Milk Processors and Co-Ops","1980 December","Domestic","Million Litres","81.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 January","Domestic","Million Litres","90.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 February","Domestic","Million Litres","165.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 March","Domestic","Million Litres","338.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 April","Domestic","Million Litres","536.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 May","Domestic","Million Litres","669.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 June","Domestic","Million Litres","621.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 July","Domestic","Million Litres","599.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 August","Domestic","Million Litres","518.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 September","Domestic","Million Litres","383.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 October","Domestic","Million Litres","258.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 November","Domestic","Million Litres","127"
"Intake of Cows Milk by Milk Processors and Co-Ops","1981 December","Domestic","Million Litres","85"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 January","Domestic","Million Litres","101.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 February","Domestic","Million Litres","190.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 March","Domestic","Million Litres","362.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 April","Domestic","Million Litres","553"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 May","Domestic","Million Litres","721"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 June","Domestic","Million Litres","682.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 July","Domestic","Million Litres","626.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 August","Domestic","Million Litres","544.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 September","Domestic","Million Litres","437"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 October","Domestic","Million Litres","309.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 November","Domestic","Million Litres","164"
"Intake of Cows Milk by Milk Processors and Co-Ops","1982 December","Domestic","Million Litres","111.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 January","Domestic","Million Litres","137.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 February","Domestic","Million Litres","230.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 March","Domestic","Million Litres","422.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 April","Domestic","Million Litres","597.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 May","Domestic","Million Litres","749.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 June","Domestic","Million Litres","727.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 July","Domestic","Million Litres","664.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 August","Domestic","Million Litres","553.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 September","Domestic","Million Litres","457.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 October","Domestic","Million Litres","335.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 November","Domestic","Million Litres","182.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1983 December","Domestic","Million Litres","127.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 January","Domestic","Million Litres","158.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 February","Domestic","Million Litres","266.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 March","Domestic","Million Litres","458.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 April","Domestic","Million Litres","621"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 May","Domestic","Million Litres","814.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 June","Domestic","Million Litres","754.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 July","Domestic","Million Litres","674.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 August","Domestic","Million Litres","579.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 September","Domestic","Million Litres","445.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 October","Domestic","Million Litres","337.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 November","Domestic","Million Litres","180.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1984 December","Domestic","Million Litres","132.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 January","Domestic","Million Litres","164.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 February","Domestic","Million Litres","270.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 March","Domestic","Million Litres","462.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 April","Domestic","Million Litres","646.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 May","Domestic","Million Litres","818.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 June","Domestic","Million Litres","767.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 July","Domestic","Million Litres","708.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 August","Domestic","Million Litres","598.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 September","Domestic","Million Litres","453"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 October","Domestic","Million Litres","333.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 November","Domestic","Million Litres","173.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1985 December","Domestic","Million Litres","119.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 January","Domestic","Million Litres","148.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 February","Domestic","Million Litres","239.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 March","Domestic","Million Litres","418.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 April","Domestic","Million Litres","573.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 May","Domestic","Million Litres","765.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 June","Domestic","Million Litres","751.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 July","Domestic","Million Litres","683.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 August","Domestic","Million Litres","577.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 September","Domestic","Million Litres","472.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 October","Domestic","Million Litres","365.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 November","Domestic","Million Litres","189.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1986 December","Domestic","Million Litres","135.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 January","Domestic","Million Litres","148.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 February","Domestic","Million Litres","239.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 March","Domestic","Million Litres","449.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 April","Domestic","Million Litres","553.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 May","Domestic","Million Litres","759.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 June","Domestic","Million Litres","714.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 July","Domestic","Million Litres","675.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 August","Domestic","Million Litres","589.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 September","Domestic","Million Litres","470.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 October","Domestic","Million Litres","337.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 November","Domestic","Million Litres","173.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1987 December","Domestic","Million Litres","123.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 January","Domestic","Million Litres","137.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 February","Domestic","Million Litres","218.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 March","Domestic","Million Litres","363.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 April","Domestic","Million Litres","605.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 May","Domestic","Million Litres","748.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 June","Domestic","Million Litres","702.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 July","Domestic","Million Litres","654.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 August","Domestic","Million Litres","582.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 September","Domestic","Million Litres","453.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 October","Domestic","Million Litres","292.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 November","Domestic","Million Litres","148"
"Intake of Cows Milk by Milk Processors and Co-Ops","1988 December","Domestic","Million Litres","115.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 January","Domestic","Million Litres","137.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 February","Domestic","Million Litres","218.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 March","Domestic","Million Litres","364.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 April","Domestic","Million Litres","538.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 May","Domestic","Million Litres","725.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 June","Domestic","Million Litres","713.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 July","Domestic","Million Litres","637.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 August","Domestic","Million Litres","570.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 September","Domestic","Million Litres","503.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 October","Domestic","Million Litres","364.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 November","Domestic","Million Litres","190.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1989 December","Domestic","Million Litres","132.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 January","Domestic","Million Litres","145.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 February","Domestic","Million Litres","217.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 March","Domestic","Million Litres","394.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 April","Domestic","Million Litres","593.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 May","Domestic","Million Litres","741.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 June","Domestic","Million Litres","706.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 July","Domestic","Million Litres","650"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 August","Domestic","Million Litres","573.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 September","Domestic","Million Litres","465.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 October","Domestic","Million Litres","322.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 November","Domestic","Million Litres","178.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1990 December","Domestic","Million Litres","129.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 January","Domestic","Million Litres","144.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 February","Domestic","Million Litres","227.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 March","Domestic","Million Litres","407.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 April","Domestic","Million Litres","564.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 May","Domestic","Million Litres","718.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 June","Domestic","Million Litres","705.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 July","Domestic","Million Litres","652"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 August","Domestic","Million Litres","567.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 September","Domestic","Million Litres","456.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 October","Domestic","Million Litres","312.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 November","Domestic","Million Litres","173.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1991 December","Domestic","Million Litres","132.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 January","Domestic","Million Litres","149.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 February","Domestic","Million Litres","233.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 March","Domestic","Million Litres","399.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 April","Domestic","Million Litres","573.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 May","Domestic","Million Litres","697.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 June","Domestic","Million Litres","674.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 July","Domestic","Million Litres","615.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 August","Domestic","Million Litres","570.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 September","Domestic","Million Litres","469.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 October","Domestic","Million Litres","363.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 November","Domestic","Million Litres","210"
"Intake of Cows Milk by Milk Processors and Co-Ops","1992 December","Domestic","Million Litres","148"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 January","Domestic","Million Litres","146.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 February","Domestic","Million Litres","218"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 March","Domestic","Million Litres","400.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 April","Domestic","Million Litres","560.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 May","Domestic","Million Litres","687"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 June","Domestic","Million Litres","656.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 July","Domestic","Million Litres","624.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 August","Domestic","Million Litres","570.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 September","Domestic","Million Litres","474.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 October","Domestic","Million Litres","350.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 November","Domestic","Million Litres","217.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1993 December","Domestic","Million Litres","147.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 January","Domestic","Million Litres","152"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 February","Domestic","Million Litres","217.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 March","Domestic","Million Litres","399.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 April","Domestic","Million Litres","510"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 May","Domestic","Million Litres","676.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 June","Domestic","Million Litres","683.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 July","Domestic","Million Litres","633.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 August","Domestic","Million Litres","568.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 September","Domestic","Million Litres","479.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 October","Domestic","Million Litres","387.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 November","Domestic","Million Litres","241.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1994 December","Domestic","Million Litres","171"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 January","Domestic","Million Litres","153.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 February","Domestic","Million Litres","211.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 March","Domestic","Million Litres","368.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 April","Domestic","Million Litres","573.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 May","Domestic","Million Litres","716.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 June","Domestic","Million Litres","706.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 July","Domestic","Million Litres","640.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 August","Domestic","Million Litres","577"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 September","Domestic","Million Litres","447.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 October","Domestic","Million Litres","359.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 November","Domestic","Million Litres","233.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1995 December","Domestic","Million Litres","147.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 January","Domestic","Million Litres","139.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 February","Domestic","Million Litres","220.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 March","Domestic","Million Litres","370"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 April","Domestic","Million Litres","574.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 May","Domestic","Million Litres","747.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 June","Domestic","Million Litres","720.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 July","Domestic","Million Litres","649.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 August","Domestic","Million Litres","592.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 September","Domestic","Million Litres","476.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 October","Domestic","Million Litres","335.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 November","Domestic","Million Litres","188.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1996 December","Domestic","Million Litres","128.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 January","Domestic","Million Litres","127.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 February","Domestic","Million Litres","197.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 March","Domestic","Million Litres","384.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 April","Domestic","Million Litres","640.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 May","Domestic","Million Litres","726.3"
